station,capacity,lat,lon,region
Cleveland Pl & Spring St,33,40.722103786686034,-73.99724900722504,71
Lafayette St & Jersey St,40,40.72456089,-73.99565293,71
Grand Army Plaza & Central Park S,96,40.7643971,-73.97371465,71
Broadway & E 14 St,114,40.73454567,-73.99074142,71
Lafayette St & E 8 St,47,40.73020660529954,-73.99102628231049,71
Canal St & Rutgers St,31,40.71427487,-73.98990025,71
Norfolk St & Broome St,59,40.7172274,-73.98802084,71
Vesey Pl & River Terrace,39,40.7153379,-74.01658354,71
W 20 St & 7 Ave,44,40.74238787,-73.99726235,71
Clinton St & Grand St,47,40.71559509,-73.9870295,71
Christopher St & Greenwich St,50,40.73291553,-74.00711384,71
W 31 St & 7 Ave,55,40.749156,-73.9916,71
W 4 St & 7 Ave S,42,40.73401143,-74.00293877,71
Centre St & Chambers St,39,40.71273266,-74.0046073,71
Atlantic Ave & Furman St,37,40.69165183,-73.9999786,71
Allen St & Rivington St,42,40.72019576,-73.98997825,71
Washington St & Gansevoort St,51,40.739323,-74.008119,71
West St & Chambers St,81,40.71754834,-74.01322069,71
W 21 St & 6 Ave,74,40.74173969,-73.99415556,71
E 10 St & Avenue A,107,40.72740794,-73.98142006,71
Broadway & W 58 St,79,40.76695317,-73.98169333,71
S 4 St & Wythe Ave,25,40.71285887,-73.96590294,71
W 22 St & 10 Ave,77,40.74691959,-74.00451887,71
W 25 St & 6 Ave,35,40.74395411,-73.99144871,71
11 Ave & W 41 St,55,40.76030096,-73.99884222,71
9 Ave & W 45 St,31,40.76019252,-73.9912551,71
S 3 St & Bedford Ave,25,40.71260486,-73.96264403,71
Broadway & W 29 St,41,40.7462009,-73.98855723,71
8 Ave & W 33 St,96,40.751551,-73.993934,71
E 16 St & 5 Ave,65,40.73726186,-73.99238967,71
6 Ave & W 33 St,52,40.74901271,-73.98848395,71
9 Ave & W 22 St,61,40.7454973,-74.00197139,71
12 Ave & W 40 St,51,40.76087502,-74.00277668,71
S 5 Pl & S 5 St,43,40.710451,-73.960876,71
Metropolitan Ave & Bedford Ave,31,40.71534825,-73.96024116,71
Wythe Ave & Metropolitan Ave,57,40.716887,-73.963198,71
Central Park S & 6 Ave,73,40.76590936,-73.97634151,71
Kent Ave & N 7 St,54,40.72036775298455,-73.96165072917938,71
Berry St & N 8 St,27,40.7190095,-73.95852515,71
N 6 St & Bedford Ave,28,40.71745169,-73.95850939,71
Bedford Ave & Nassau Ave,39,40.72311651,-73.95212324,71
Milton St & Franklin St,33,40.72906,-73.95779,71
Queens Plaza North & Crescent St,40,40.75110165,-73.94073717,71
5 Ave & E 72 St,31,40.77282817,-73.96685276,71
1 Ave & E 78 St,57,40.77140426,-73.9535166,71
1 Ave & E 68 St,62,40.76500525,-73.95818491,71
1 Ave & E 62 St,45,40.7612274,-73.96094022,71
E 85 St & 3 Ave,39,40.77801203,-73.95407149,71
E 72 St & York Ave,37,40.76663814,-73.95348296,71
Central Park West & W 68 St,43,40.7734066,-73.97782542,71
Columbus Ave & W 72 St,67,40.7770575,-73.97898475,71
Central Park West & W 72 St,51,40.77579376683666,-73.9762057363987,71
Amsterdam Ave & W 73 St,55,40.77966809007312,-73.98093044757842,71
Riverside Blvd & W 67 St,79,40.777507027547976,-73.98888587951659,71
Grove St PATH,42,40.71958611647166,-74.04311746358871,70
8 Ave & W 31 St,18,40.7505853470215,-73.9946848154068,71
Central Park North & Adam Clayton Powell Blvd,36,40.799484,-73.955613,71
West Drive & Prospect Park West,29,40.6610633719006,-73.97945255041122,71
Hanson Pl & Ashland Pl,39,40.68506807308177,-73.97790759801863,71
Grand St & Elizabeth St,45,40.718822,-73.99596,71
Fulton St & Adams St,47,40.692418292578466,-73.98949474096298,71
Lenox Ave & W 126 St,34,40.808442,-73.9452087,71
St. Nicholas Ave & W 126 St,34,40.8114323,-73.9518776,71
Frederick Douglass Blvd & W 117 St,39,40.805159,-73.954692,71
Bergen St & Vanderbilt Ave,27,40.6794388,-73.9680438,71
Broadway & W 25 St,73,40.74286877312112,-73.98918628692627,71
E 33 St & 1 Ave,83,40.74322681432173,-73.97449783980846,71
31 St & Newtown Ave,37,40.7675487799971,-73.9209334552288,71
7 Ave & Central Park South,81,40.7667405590595,-73.9790689945221,71
2 Ave & E 72 St,55,40.7687620293096,-73.95840793848038,71
W 30 St & 10 Ave,56,40.752694,-74.002353,71
W 42 St & 6 Ave,55,40.75492,-73.98455,71
6 Ave & W 34 St,67,40.74964,-73.98805,71
8 Ave & W 16 St,36,40.740983,-74.001702,71
West St & Liberty St,32,40.711444,-74.014847,71
Melrose Ave & E 150 St,31,40.816827,-73.917338,71
8 Ave & W 38 St,48,40.75461,-73.99177,71
West End Ave & W 60 St,39,40.77237,-73.99005,71
Central Park W & W 97 St,53,40.79249519495111,-73.96417066463071,71
E 161 St & River Ave,38,40.827883,-73.927111,71
Grant Ave & E 169 St,19,40.83579,-73.913741,71
10 Ave & W 14 St,55,40.741981599940225,-74.00831580162048,71
2 Ave & E 29 St,57,40.741723510974715,-73.97809267044067,71
W 54 St & 11 Ave,59,40.768333,-73.992573,71
Bleecker St & Crosby St,43,40.72615604980408,-73.99510189890862,71
E 1 St & 1 Ave,51,40.72335597960796,-73.98864984512329,71
South Waterfront Walkway - Sinatra Dr & 1 St,30,40.73698221818716,-74.02778059244156,311
Hoboken Terminal - River St & Hudson Pl,46,40.7360676564825,-74.02912706136703,311
Hoboken Terminal - Hudson St & Hudson Pl,24,40.73593758446329,-74.03030455112457,311
E Fordham Rd & Webster Ave,35,40.861748,-73.89105,71
Broadway & E 21 St,54,40.739888408589955,-73.98958593606949,71
5 Ave & E 87 St,38,40.78232260730881,-73.95987510681152,71
Flatbush Ave & Ocean Ave,41,40.663657,-73.963014,71
E 40 St & Park Ave,87,40.750756,-73.978326,71
Ave A & E 14 St,41,40.73031071000895,-73.98047178983688,71
Broadway & Berry St,34,40.71036129922581,-73.96530389785767,71
